"ID","Name","Owner","People","Open deals","Organization created","Update time","Visible to","Next activity date","Last activity date","Won deals","Lost deals","Closed deals","Total activities","Done activities","Activities to do","Email messages count","Profile picture","Labels","Website","LinkedIn profile","Industry","Annual revenue","Number of employees","Horizontal","Verticals","Website ","Linked In","Case Studies ","Address","Latitude of Address","Longitude of Address","Apartment/suite no of Address","House number of Address","Street/road name of Address","District/sublocality of Address","City/town/village/locality of Address","State/county of Address","Region of Address","Country of Address","ZIP/Postal code of Address","Full/combined address of Address","Label"
"1","Vivid Consulting","Paul","1","2","2023-02-06 06:32:34","2025-04-07 15:24:52","All users","","","5","1","6","0","0","0","6050","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","Bonsai Media","Paul","1","0","2023-02-06 06:34:36","2025-09-28 08:47:57","All users","","","3","1","4","0","0","0","10","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","Formidable","Paul","2","1","2023-02-06 06:38:01","2024-09-19 21:22:37","All users","","2023-07-01","0","1","1","1","1","0","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","Revery","Paul","1","0","2023-02-06 06:40:24","2023-08-21 03:15:37","All users","2023-02-13","2023-02-11","0","1","1","2","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","MintCRO","Paul","1","0","2023-02-06 06:49:18","2023-02-06 07:11:41","All users","","","1","0","1","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","AssemblyAI","Paul","1","0","2023-02-06 06:54:36","2023-02-06 07:11:19","All users","","","1","0","1","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","ShiftUp Agency","Paul","1","1","2023-02-06 06:59:25","2024-08-26 16:11:23","All users","","2024-08-08","0","0","0","2","2","0","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","Flight and Flute","Paul","1","1","2023-02-06 07:01:24","2023-07-20 21:14:22","All users","","2023-06-15","0","1","1","1","1","0","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","Apex Studios","Paul","1","1","2023-02-06 07:04:29","2024-08-05 15:35:11","All users","","2023-08-31","0","1","1","1","1","0","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","Resourceful","Paul","2","1","2023-02-06 07:06:14","2025-04-07 15:24:54","All users","","2024-08-08","2","0","2","2","2","0","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","Parker Studios","Paul","1","1","2023-02-06 07:55:23","2024-10-28 15:40:16","All users","","2023-08-18","0","1","1","10","10","0","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13","Circe Twice","Paul","1","1","2023-02-06 07:57:01","2024-09-09 15:26:42","All users","2024-09-20","2024-08-08","0","0","0","4","3","1","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14","TalentReach","Paul","1","1","2023-02-06 07:58:52","2024-04-10 23:59:48","All users","","","0","0","0","0","0","0","0","","","","","","","","Staffing Company","Recruiting firm - Specialized in Tech Companies","https://talentreachnw.com","","Highspot - Formations - Imperative - etc.","","","","","","","","","","","","","",""
"15","REVTech","Paul","3","2","2023-02-06 08:01:11","2024-10-28 16:06:29","All users","2024-08-23","2024-06-04","0","9","9","7","6","1","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16","Swift HR","Paul","1","1","2023-02-06 08:05:33","2024-09-19 21:22:00","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","WeDeploy.AI","Paul","0","1","2023-02-06 08:07:30","2024-10-28 15:42:23","All users","","2023-08-21","0","1","1","1","1","0","0","","","","","","","","","","https://wedeploy.ai","","","","","","","","","","","","","","","",""
"18","Affirma","Paul","1","1","2023-02-06 16:14:28","2024-07-23 00:02:14","All users","","2024-06-21","0","0","0","2","2","0","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19","A.Wordsmith","Paul","2","0","2023-02-06 16:23:30","2023-12-08 12:45:18","All users","","2023-02-15","0","0","0","1","1","0","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","Metaforce","Paul","1","1","2023-02-06 19:46:00","2024-04-25 13:48:19","All users","","2023-10-09","0","1","1","3","3","0","1","","","","","","","","Marketing","Strategy - Go to market planning - Creative - Brand - Activation","https://www.metaforce.com","https://www.linkedin.com/company/metaforce-com/","Amazon - Amex - BlackBerry - Coca Cola - Goldman Sachs - Johnson & Johnson - Microsoft - P&G - Verizon - etc.","","","","","","","","","","","","","",""
"21","Twenty Ideas","Jennifer","1","0","2023-02-06 23:06:40","2023-12-08 12:45:18","All users","","","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22","Singlemind","Jennifer","1","0","2023-02-06 23:10:10","2023-02-06 23:10:10","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23","Red & Co","Jennifer","1","0","2023-02-06 23:11:52","2023-12-08 12:45:18","All users","","","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24","Roboboogie inc.","Jennifer","1","0","2023-02-06 23:14:49","2023-12-08 12:45:18","All users","","","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25","Solid Digital","Jennifer","1","0","2023-02-06 23:19:24","2023-12-08 12:45:18","All users","","","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26","Above The Fray","Jennifer","1","0","2023-02-06 23:20:22","2023-12-08 12:45:18","All users","","","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27","Buildable","Jennifer","1","0","2023-02-06 23:21:27","2023-02-06 23:21:28","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28","ARCK Interactive","Jennifer","1","0","2023-02-06 23:22:27","2023-02-06 23:22:28","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29","Murmer Creative","Jennifer","1","0","2023-02-06 23:23:35","2023-02-13 23:57:17","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
